Date : 2021-11-08 23:39:38
Directory : c:\Users\Ori\Documents\CODES\general\project4
Total : 117 files,  17322 codes, 240 comments, 692 blanks, all 18254 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| client\src\app\components\login-info                                                                                   |          3 |         82 |          0 |         17 |         99 |
| client\src\app\components\login-main                                                                                   |          4 |         43 |          1 |         19 |         63 |
| client\src\app\components\order-cart                                                                                   |          3 |         57 |          3 |         25 |         85 |
| client\src\app\components\order-form                                                                                   |          4 |        184 |          1 |         32 |        217 |
| client\src\app\components\order-main                                                                                   |          3 |         15 |          0 |          7 |         22 |
| client\src\app\components\register-dialog                                                                              |          3 |        137 |          0 |         23 |        160 |
| client\src\app\components\register-main                                                                                |          3 |         14 |          0 |          8 |         22 |
| client\src\app\components\store-bar                                                                                    |          3 |         18 |          0 |         11 |         29 |
| client\src\app\components\store-cart                                                                                   |          3 |         91 |         34 |         28 |        153 |
| client\src\app\components\store-categs                                                                                 |          3 |         19 |          0 |          7 |         26 |
| client\src\app\components\store-form                                                                                   |          3 |         29 |          0 |         12 |         41 |
| client\src\app\components\store-item                                                                                   |          4 |         83 |          1 |         24 |        108 |
| client\src\app\components\store-list                                                                                   |          4 |         40 |          2 |         17 |         59 |
| client\src\app\components\store-main                                                                                   |          3 |         37 |          0 |         12 |         49 |
| client\src\app\guards                                                                                                  |          4 |         56 |          4 |         20 |         80 |
| client\src\app\models                                                                                                  |          3 |         21 |          0 |          0 |         21 |
| client\src\app\pipes                                                                                                   |          1 |         16 |          0 |          4 |         20 |
| client\src\app\services                                                                                                |          5 |        604 |         44 |        102 |        750 |
| client\src\environments                                                                                                |          2 |          6 |         11 |          4 |         21 |
| server                                                                                                                 |         12 |      2,478 |         44 |         90 |      2,612 |
| server\config                                                                                                          |          1 |         14 |          0 |          3 |         17 |
| server\models                                                                                                          |          1 |         31 |          0 |          4 |         35 |
| server\routes                                                                                                          |          5 |        419 |         33 |         60 |        512 |
+------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                               | language   | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Users\Ori\Documents\CODES\general\project4\client\README.md                                                         | Markdown   |         14 |          0 |         14 |         28 |
| c:\Users\Ori\Documents\CODES\general\project4\client\angular.json                                                      | JSON       |        108 |          0 |          1 |        109 |
| c:\Users\Ori\Documents\CODES\general\project4\client\karma.conf.js                                                     | JavaScript |         37 |          6 |          2 |         45 |
| c:\Users\Ori\Documents\CODES\general\project4\client\package-lock.json                                                 | JSON       |     12,247 |          0 |          1 |     12,248 |
| c:\Users\Ori\Documents\CODES\general\project4\client\package.json                                                      | JSON       |         47 |          0 |          1 |         48 |
| c:\Users\Ori\Documents\CODES\general\project4\client\src\app\admin-list\admin-list.component.css                       | CSS        |          0 |          0 |          1 |          1 |
| c:\Users\Ori\Documents\CODES\general\project4\client\src\app\admin-list\admin-list.component.html                      | HTML       |          4 |          2 |          1 |          7 |
| c:\Users\Ori\Documents\CODES\general\project4\client\src\app\admin-list\admin-list.component.ts                        | TypeScript |         17 |          0 |         12 |         29 |
| c:\Users\Ori\Documents\CODES\general\project4\client\src\app\app-routing.module.ts                                     | TypeScript |         23 |          0 |          3 |         26 |
| c:\Users\Ori\Documents\CODES\general\project4\client\src\app\app.component.css                                         | CSS        |          0 |          0 |          1 |          1 |
| c:\Users\Ori\Documents\CODES\general\project4\client\src\app\app.component.html                                        | HTML       |          2 |          2 |          1 |          5 |
| c:\Users\Ori\Documents\CODES\general\project4\client\src\app\app.component.spec.ts                                     | TypeScript |         31 |          0 |          5 |         36 |
| c:\Users\Ori\Documents\CODES\general\project4\client\src\app\app.component.ts                                          | TypeScript |          9 |          0 |          2 |         11 |
| c:\Users\Ori\Documents\CODES\general\project4\client\src\app\app.module.ts                                             | TypeScript |        109 |          0 |         11 |        120 |
| c:\Users\Ori\Documents\CODES\general\project4\client\src\app\components\admin-editbar\admin-editbar.component.css      | CSS        |          0 |          0 |          1 |          1 |
| c:\Users\Ori\Documents\CODES\general\project4\client\src\app\components\admin-editbar\admin-editbar.component.html     | HTML       |         86 |          0 |         15 |        101 |
| c:\Users\Ori\Documents\CODES\general\project4\client\src\app\components\admin-editbar\admin-editbar.component.ts       | TypeScript |         31 |          0 |         12 |         43 |
| c:\Users\Ori\Documents\CODES\general\project4\client\src\app\components\admin-item\admin-item.component.css            | CSS        |          0 |          0 |          1 |          1 |
| c:\Users\Ori\Documents\CODES\general\project4\client\src\app\components\admin-item\admin-item.component.html           | HTML       |         13 |          0 |          4 |         17 |
| c:\Users\Ori\Documents\CODES\general\project4\client\src\app\components\admin-item\admin-item.component.ts             | TypeScript |         25 |          0 |          7 |         32 |
| c:\Users\Ori\Documents\CODES\general\project4\client\src\app\components\admin-list\admin-list.component.css            | CSS        |          0 |          0 |          1 |          1 |
| c:\Users\Ori\Documents\CODES\general\project4\client\src\app\components\admin-list\admin-list.component.html           | HTML       |          3 |          0 |          1 |          4 |
| c:\Users\Ori\Documents\CODES\general\project4\client\src\app\components\admin-list\admin-list.component.ts             | TypeScript |         15 |          0 |         13 |         28 |
| c:\Users\Ori\Documents\CODES\general\project4\client\src\app\components\admin-main\admin-main.component.css            | CSS        |          0 |          0 |          1 |          1 |
| c:\Users\Ori\Documents\CODES\general\project4\client\src\app\components\admin-main\admin-main.component.html           | HTML       |         12 |          0 |          3 |         15 |
| c:\Users\Ori\Documents\CODES\general\project4\client\src\app\components\admin-main\admin-main.component.ts             | TypeScript |         21 |          0 |          8 |         29 |
| c:\Users\Ori\Documents\CODES\general\project4\client\src\app\components\header\header.component.css                    | CSS        |          0 |          0 |          1 |          1 |
| c:\Users\Ori\Documents\CODES\general\project4\client\src\app\components\header\header.component.html                   | HTML       |         21 |          0 |          4 |         25 |
| c:\Users\Ori\Documents\CODES\general\project4\client\src\app\components\header\header.component.ts                     | TypeScript |         17 |          0 |          6 |         23 |
| c:\Users\Ori\Documents\CODES\general\project4\client\src\app\components\login-about\login-about.component.css          | CSS        |          3 |          0 |          0 |          3 |
| c:\Users\Ori\Documents\CODES\general\project4\client\src\app\components\login-about\login-about.component.html         | HTML       |          8 |          0 |          4 |         12 |
| c:\Users\Ori\Documents\CODES\general\project4\client\src\app\components\login-about\login-about.component.ts           | TypeScript |         13 |          0 |          7 |         20 |
| c:\Users\Ori\Documents\CODES\general\project4\client\src\app\components\login-block\login-block.component.css          | CSS        |          3 |          0 |          0 |          3 |
| c:\Users\Ori\Documents\CODES\general\project4\client\src\app\components\login-block\login-block.component.html         | HTML       |         55 |          0 |          2 |         57 |
| c:\Users\Ori\Documents\CODES\general\project4\client\src\app\components\login-block\login-block.component.ts           | TypeScript |         22 |          0 |          8 |         30 |
| c:\Users\Ori\Documents\CODES\general\project4\client\src\app\components\login-info\login-info.component.css            | CSS        |          5 |          0 |          1 |          6 |
| c:\Users\Ori\Documents\CODES\general\project4\client\src\app\components\login-info\login-info.component.html           | HTML       |         25 |          0 |          6 |         31 |
| c:\Users\Ori\Documents\CODES\general\project4\client\src\app\components\login-info\login-info.component.ts             | TypeScript |         52 |          0 |         10 |         62 |
| c:\Users\Ori\Documents\CODES\general\project4\client\src\app\components\login-main\login-main.component.css            | CSS        |          4 |          1 |          2 |          7 |
| c:\Users\Ori\Documents\CODES\general\project4\client\src\app\components\login-main\login-main.component.html           | HTML       |          5 |          0 |          0 |          5 |
| c:\Users\Ori\Documents\CODES\general\project4\client\src\app\components\login-main\login-main.component.ts             | TypeScript |         20 |          0 |          8 |         28 |
| c:\Users\Ori\Documents\CODES\general\project4\client\src\app\components\login-main\login-main.resolver.ts              | TypeScript |         14 |          0 |          9 |         23 |
| c:\Users\Ori\Documents\CODES\general\project4\client\src\app\components\order-cart\order-cart.component.css            | CSS        |          0 |          0 |          1 |          1 |
| c:\Users\Ori\Documents\CODES\general\project4\client\src\app\components\order-cart\order-cart.component.html           | HTML       |         34 |          3 |          9 |         46 |
| c:\Users\Ori\Documents\CODES\general\project4\client\src\app\components\order-cart\order-cart.component.ts             | TypeScript |         23 |          0 |         15 |         38 |
| c:\Users\Ori\Documents\CODES\general\project4\client\src\app\components\order-form\order-form-popup.html               | HTML       |         12 |          0 |          2 |         14 |
| c:\Users\Ori\Documents\CODES\general\project4\client\src\app\components\order-form\order-form.component.css            | CSS        |          6 |          0 |          1 |          7 |
| c:\Users\Ori\Documents\CODES\general\project4\client\src\app\components\order-form\order-form.component.html           | HTML       |         93 |          0 |          4 |         97 |
| c:\Users\Ori\Documents\CODES\general\project4\client\src\app\components\order-form\order-form.component.ts             | TypeScript |         73 |          1 |         25 |         99 |
| c:\Users\Ori\Documents\CODES\general\project4\client\src\app\components\order-main\order-main.component.css            | CSS        |          0 |          0 |          1 |          1 |
| c:\Users\Ori\Documents\CODES\general\project4\client\src\app\components\order-main\order-main.component.html           | HTML       |          4 |          0 |          0 |          4 |
| c:\Users\Ori\Documents\CODES\general\project4\client\src\app\components\order-main\order-main.component.ts             | TypeScript |         11 |          0 |          6 |         17 |
| c:\Users\Ori\Documents\CODES\general\project4\client\src\app\components\register-dialog\register-dialog.component.css  | CSS        |         13 |          0 |          6 |         19 |
| c:\Users\Ori\Documents\CODES\general\project4\client\src\app\components\register-dialog\register-dialog.component.html | HTML       |         93 |          0 |          6 |         99 |
| c:\Users\Ori\Documents\CODES\general\project4\client\src\app\components\register-dialog\register-dialog.component.ts   | TypeScript |         31 |          0 |         11 |         42 |
| c:\Users\Ori\Documents\CODES\general\project4\client\src\app\components\register-main\register-main.component.css      | CSS        |          0 |          0 |          1 |          1 |
| c:\Users\Ori\Documents\CODES\general\project4\client\src\app\components\register-main\register-main.component.html     | HTML       |          1 |          0 |          0 |          1 |
| c:\Users\Ori\Documents\CODES\general\project4\client\src\app\components\register-main\register-main.component.ts       | TypeScript |         13 |          0 |          7 |         20 |
| c:\Users\Ori\Documents\CODES\general\project4\client\src\app\components\store-bar\store-bar.component.css              | CSS        |          0 |          0 |          1 |          1 |
| c:\Users\Ori\Documents\CODES\general\project4\client\src\app\components\store-bar\store-bar.component.html             | HTML       |          4 |          0 |          2 |          6 |
| c:\Users\Ori\Documents\CODES\general\project4\client\src\app\components\store-bar\store-bar.component.ts               | TypeScript |         14 |          0 |          8 |         22 |
| c:\Users\Ori\Documents\CODES\general\project4\client\src\app\components\store-cart\store-cart.component.css            | CSS        |         17 |          0 |          3 |         20 |
| c:\Users\Ori\Documents\CODES\general\project4\client\src\app\components\store-cart\store-cart.component.html           | HTML       |         47 |          7 |          7 |         61 |
| c:\Users\Ori\Documents\CODES\general\project4\client\src\app\components\store-cart\store-cart.component.ts             | TypeScript |         27 |         27 |         18 |         72 |
| c:\Users\Ori\Documents\CODES\general\project4\client\src\app\components\store-categs\store-categs.component.css        | CSS        |          0 |          0 |          1 |          1 |
| c:\Users\Ori\Documents\CODES\general\project4\client\src\app\components\store-categs\store-categs.component.html       | HTML       |          6 |          0 |          1 |          7 |
| c:\Users\Ori\Documents\CODES\general\project4\client\src\app\components\store-categs\store-categs.component.ts         | TypeScript |         13 |          0 |          5 |         18 |
| c:\Users\Ori\Documents\CODES\general\project4\client\src\app\components\store-form\store-form.component.css            | CSS        |          0 |          0 |          1 |          1 |
| c:\Users\Ori\Documents\CODES\general\project4\client\src\app\components\store-form\store-form.component.html           | HTML       |         14 |          0 |          2 |         16 |
| c:\Users\Ori\Documents\CODES\general\project4\client\src\app\components\store-form\store-form.component.ts             | TypeScript |         15 |          0 |          9 |         24 |
| c:\Users\Ori\Documents\CODES\general\project4\client\src\app\components\store-item\store-item-popup.html               | HTML       |         13 |          0 |          2 |         15 |
| c:\Users\Ori\Documents\CODES\general\project4\client\src\app\components\store-item\store-item.component.css            | CSS        |          0 |          0 |          1 |          1 |
| c:\Users\Ori\Documents\CODES\general\project4\client\src\app\components\store-item\store-item.component.html           | HTML       |         18 |          0 |          2 |         20 |
| c:\Users\Ori\Documents\CODES\general\project4\client\src\app\components\store-item\store-item.component.ts             | TypeScript |         52 |          1 |         19 |         72 |
| c:\Users\Ori\Documents\CODES\general\project4\client\src\app\components\store-list\store-list.component.css            | CSS        |          0 |          0 |          1 |          1 |
| c:\Users\Ori\Documents\CODES\general\project4\client\src\app\components\store-list\store-list.component.html           | HTML       |          3 |          1 |          1 |          5 |
| c:\Users\Ori\Documents\CODES\general\project4\client\src\app\components\store-list\store-list.component.ts             | TypeScript |         17 |          0 |          7 |         24 |
| c:\Users\Ori\Documents\CODES\general\project4\client\src\app\components\store-list\store-list.resolver.ts              | TypeScript |         20 |          1 |          8 |         29 |
| c:\Users\Ori\Documents\CODES\general\project4\client\src\app\components\store-main\store-main.component.css            | CSS        |          0 |          0 |          1 |          1 |
| c:\Users\Ori\Documents\CODES\general\project4\client\src\app\components\store-main\store-main.component.html           | HTML       |         18 |          0 |          3 |         21 |
| c:\Users\Ori\Documents\CODES\general\project4\client\src\app\components\store-main\store-main.component.ts             | TypeScript |         19 |          0 |          8 |         27 |
| c:\Users\Ori\Documents\CODES\general\project4\client\src\app\guards\admin.guard.spec.ts                                | TypeScript |         12 |          0 |          5 |         17 |
| c:\Users\Ori\Documents\CODES\general\project4\client\src\app\guards\admin.guard.ts                                     | TypeScript |         16 |          0 |          5 |         21 |
| c:\Users\Ori\Documents\CODES\general\project4\client\src\app\guards\auth.guard.spec.ts                                 | TypeScript |         12 |          0 |          5 |         17 |
| c:\Users\Ori\Documents\CODES\general\project4\client\src\app\guards\auth.guard.ts                                      | TypeScript |         16 |          4 |          5 |         25 |
| c:\Users\Ori\Documents\CODES\general\project4\client\src\app\models\CartProduct.model.ts                               | TypeScript |         10 |          0 |          0 |         10 |
| c:\Users\Ori\Documents\CODES\general\project4\client\src\app\models\DialogData.model.ts                                | TypeScript |          4 |          0 |          0 |          4 |
| c:\Users\Ori\Documents\CODES\general\project4\client\src\app\models\Product.model.ts                                   | TypeScript |          7 |          0 |          0 |          7 |
| c:\Users\Ori\Documents\CODES\general\project4\client\src\app\pipes\highlight.pipe.ts                                   | TypeScript |         16 |          0 |          4 |         20 |
| c:\Users\Ori\Documents\CODES\general\project4\client\src\app\services\admin-data.service.ts                            | TypeScript |         82 |          0 |         20 |        102 |
| c:\Users\Ori\Documents\CODES\general\project4\client\src\app\services\data.service.ts                                  | TypeScript |        247 |          6 |         27 |        280 |
| c:\Users\Ori\Documents\CODES\general\project4\client\src\app\services\order-data.service.ts                            | TypeScript |         93 |          0 |         12 |        105 |
| c:\Users\Ori\Documents\CODES\general\project4\client\src\app\services\store-data.service.ts                            | TypeScript |        147 |         32 |         31 |        210 |
| c:\Users\Ori\Documents\CODES\general\project4\client\src\app\services\validators.service.ts                            | TypeScript |         35 |          6 |         12 |         53 |
| c:\Users\Ori\Documents\CODES\general\project4\client\src\environments\environment.prod.ts                              | TypeScript |          3 |          0 |          1 |          4 |
| c:\Users\Ori\Documents\CODES\general\project4\client\src\environments\environment.ts                                   | TypeScript |          3 |         11 |          3 |         17 |
| c:\Users\Ori\Documents\CODES\general\project4\client\src\index.html                                                    | HTML       |         16 |          0 |          1 |         17 |
| c:\Users\Ori\Documents\CODES\general\project4\client\src\main.ts                                                       | TypeScript |          9 |          0 |          4 |         13 |
| c:\Users\Ori\Documents\CODES\general\project4\client\src\polyfills.ts                                                  | TypeScript |          1 |         57 |          8 |         66 |
| c:\Users\Ori\Documents\CODES\general\project4\client\src\styles.css                                                    | CSS        |        122 |         21 |         33 |        176 |
| c:\Users\Ori\Documents\CODES\general\project4\client\src\test.ts                                                       | TypeScript |         18 |          4 |          4 |         26 |
| c:\Users\Ori\Documents\CODES\general\project4\client\tsconfig.app.json                                                 | JSON       |         14 |          1 |          1 |         16 |
| c:\Users\Ori\Documents\CODES\general\project4\client\tsconfig.json                                                     | JSON       |         29 |          1 |          1 |         31 |
| c:\Users\Ori\Documents\CODES\general\project4\client\tsconfig.spec.json                                                | JSON       |         17 |          1 |          1 |         19 |
| c:\Users\Ori\Documents\CODES\general\project4\db.sql                                                                   | SQL        |         70 |          0 |         22 |         92 |
| c:\Users\Ori\Documents\CODES\general\project4\server\config\db.js                                                      | JavaScript |         14 |          0 |          3 |         17 |
| c:\Users\Ori\Documents\CODES\general\project4\server\db.js                                                             | JavaScript |         27 |          0 |          6 |         33 |
| c:\Users\Ori\Documents\CODES\general\project4\server\index.js                                                          | JavaScript |         17 |         10 |         11 |         38 |
| c:\Users\Ori\Documents\CODES\general\project4\server\models\users.js                                                   | JavaScript |         31 |          0 |          4 |         35 |
| c:\Users\Ori\Documents\CODES\general\project4\server\package-lock.json                                                 | JSON       |      1,932 |          0 |          1 |      1,933 |
| c:\Users\Ori\Documents\CODES\general\project4\server\package.json                                                      | JSON       |         22 |          0 |          1 |         23 |
| c:\Users\Ori\Documents\CODES\general\project4\server\routes\admin.js                                                   | JavaScript |         39 |          1 |          3 |         43 |
| c:\Users\Ori\Documents\CODES\general\project4\server\routes\cart.js                                                    | JavaScript |        134 |         24 |         24 |        182 |
| c:\Users\Ori\Documents\CODES\general\project4\server\routes\login.js                                                   | JavaScript |        120 |          5 |         13 |        138 |
| c:\Users\Ori\Documents\CODES\general\project4\server\routes\order.js                                                   | JavaScript |         77 |          0 |          8 |         85 |
| c:\Users\Ori\Documents\CODES\general\project4\server\routes\store.js                                                   | JavaScript |         49 |          3 |         12 |         64 |
| c:\Users\Ori\Documents\CODES\general\project4\server\verify.js                                                         | JavaScript |         16 |          1 |          4 |         21 |
| Total                                                                                                                  |            |     17,322 |        240 |        692 |     18,254 |
+------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
